,Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
2114,2801554,Helapuri Restaurant,1,Vizag,"1st Lane, Near Diamond Park, Dwaraka Nagar, Visakhapatnam",Diamond Park Area,"Diamond Park Area, Vizag",83.30286574,17.72610786,"South Indian, North Indian, Biryani, Chinese",300,Rs.,0,1,0,0,1,4.1,5BA829,Very Good,1020
2115,2800901,Paradise,1,Vizag,"9-14-4, VIP Rd, CBM Compound, Sector 4, Siripuram, Visakhapatnam, Andhra Pradesh, Waltair Uplands, Vizag",Waltair Uplands,"Waltair Uplands, Vizag",83.31618525,17.72676637,"Biryani, North Indian, Chinese",750,Rs.,0,1,0,0,3,3.7,9ACD32,Good,1590
2116,2800014,KFC,1,Vizag,"1 & 2, Ground Floor, CMR Central Mall, Maddilapalem, Vizag","CMR Central Mall, Maddilapalem","CMR Central Mall, Maddilapalem, Vizag",83.31854861,17.73403447,"Burger, Fast Food",500,Rs.,0,1,0,0,2,4.2,5BA829,Very Good,1649
2117,2800294,Sri Sairam Parlour,1,Vizag,"Diamond Park, Railway New Colony Road, Dwaraka Nagar, Vizag",Dwaraka Nagar,"Dwaraka Nagar, Vizag",83.30342162,17.72634546,"South Indian, North Indian",300,Rs.,0,1,1,0,1,4.5,3F7E00,Excellent,1197
2118,2801648,Helapuri Restaurant,1,Vizag,"Opposite RTC Complex, Near Andhra Bank, Dwarakanagar Circle, Dwaraka Nagar, Vizag",RTC Area,"RTC Area, Vizag",83.3059037,17.72490102,"South Indian, North Indian, Biryani, Chinese",300,Rs.,0,1,0,0,1,3.8,9ACD32,Good,489
2119,2801236,KFC,1,Vizag,"Vajjhala Square, Opp RTC Complex, GVMC Lane, Asilmetta Junction, Ram Nagar, Visakhapatnam",Asilmetta,"Asilmetta, Vizag",83.30847859,17.72402914,"Burger, Fast Food",500,Rs.,0,1,0,0,2,3.9,9ACD32,Good,927
2120,18809359,Helapuri Tiffins,1,Vizag,"Ground floor, Opposite RTC Complex, Near Andhra Bank, Dwarakanagar Circle, Dwaraka Nagar, Vizag",Dwaraka Nagar,"Dwaraka Nagar, Vizag",83.30595631,17.72490643,"South Indian, North Indian, Biryani, Chinese",300,Rs.,0,1,1,0,1,4,5BA829,Very Good,409
2121,2801559,Hotel V Parlour,1,Vizag,"Asilmetta Junction, Rama talkies Road, Dwaraka Nagar, Visakhapatnam",Dwaraka Nagar,"Dwaraka Nagar, Vizag",83.30984954,17.72613628,"South Indian, North Indian, Chinese",500,Rs.,0,1,0,0,2,4.2,5BA829,Very Good,414
2122,18766029,Helapuri Restaurant,1,Vizag,"High School Road, Opposite Bommana Brothers, New Gajuwaka, Vizag",Gajuwaka,"Gajuwaka, Vizag",83.21319345,17.68569459,"South Indian, North Indian, Biryani, Chinese",300,Rs.,0,1,0,0,1,3.6,9ACD32,Good,390
2123,2801173,Paradise,1,Vizag,"10-1-126/1, 80 Feet Road, Old Gajuwaka Junction, Gajuwaka, Vizag",Gajuwaka,"Gajuwaka, Vizag",83.20389826,17.68485609,"Biryani, North Indian, Chinese",750,Rs.,0,1,0,0,3,3.3,CDD614,Average,956
2124,2800790,Hotel Grand Alpha,1,Vizag,"GNT Road, Near Mohini Theatre, Opposite SBI Bank, Gajuwaka, Vizag",Gajuwaka,"Gajuwaka, Vizag",83.20840437,17.6856831,"Biryani, North Indian",400,Rs.,0,1,0,0,2,2.5,FFBA00,Average,930
2125,2800004,Domino's Pizza,1,Vizag,"104/1, Ground Floor, Arjun Arcade, National Highway 5, Gajuwaka, Visakhapatnam",Gajuwaka,"Gajuwaka, Vizag",83.20223093,17.6844437,"Pizza, Fast Food",700,Rs.,0,0,0,0,2,3.8,9ACD32,Good,679
2126,2800154,Alif Family Restaurant,1,Vizag,"New Gajuwaka, Beside Mohini Theatre, Gajuwaka, Vizag",Gajuwaka,"Gajuwaka, Vizag",83.20915639,17.68551316,"North Indian, Chinese, Biryani",500,Rs.,0,0,0,0,2,4,5BA829,Very Good,501
2127,2800774,4 Seasons Bakery & Restaurant,1,Vizag,"1st Floor, Beside SBH, GNT Road, Gajuwaka, Vizag",Gajuwaka,"Gajuwaka, Vizag",83.20475489,17.68556363,"Biryani, North Indian, Chinese, Bakery",600,Rs.,0,0,0,0,2,4.2,5BA829,Very Good,393
2128,2800001,Red Cherry Bakers & Restaurant,1,Vizag,"10-1-123, National Highway 5, Beside ING Vysya Bank, Venkojipalem, Gajuwaka, Vizag",Gajuwaka,"Gajuwaka, Vizag",83.20310298,17.68459863,"Bakery, North Indian, Chinese, Biryani",600,Rs.,0,1,0,0,2,3.8,9ACD32,Good,252
2129,2800780,Biryani House,1,Vizag,"60 Feet Road, AR Grand Building, Kanithi Road, Gajuwaka, Vizag",Gajuwaka,"Gajuwaka, Vizag",83.20491012,17.68384445,"Biryani, North Indian, Chinese",450,Rs.,0,1,0,0,2,3,CDD614,Average,201
2130,18755736,Friends Tandoori Point,1,Vizag,"Chaitanya Nagar, Gajuwaka, Vizag",Gajuwaka,"Gajuwaka, Vizag",83.19460507,17.68349083,"North Indian, Chinese",450,Rs.,0,1,0,0,2,3.7,9ACD32,Good,171
2131,18837140,AB's - Absolute Barbecue,1,Vizag,"4th Floor, Plot 244A, Uma Vinayagar, Dwaraka Nagar, Vizag",Dwaraka Nagar,"Dwaraka Nagar, Vizag",0,0,"European, Mediterranean, North Indian",1500,Rs.,1,0,0,0,4,4.9,3F7E00,Excellent,446
2132,2801554,Helapuri Restaurant,1,Vizag,"1st Lane, Near Diamond Park, Dwaraka Nagar, Visakhapatnam",Diamond Park Area,"Diamond Park Area, Vizag",83.30286574,17.72610786,"South Indian, North Indian, Biryani, Chinese",300,Rs.,0,1,0,0,1,4.1,5BA829,Very Good,1020
2133,2800014,KFC,1,Vizag,"1 & 2, Ground Floor, CMR Central Mall, Maddilapalem, Vizag","CMR Central Mall, Maddilapalem","CMR Central Mall, Maddilapalem, Vizag",83.31854861,17.73403447,"Burger, Fast Food",500,Rs.,0,1,0,0,2,4.2,5BA829,Very Good,1649
2134,2800901,Paradise,1,Vizag,"9-14-4, VIP Rd, CBM Compound, Sector 4, Siripuram, Visakhapatnam, Andhra Pradesh, Waltair Uplands, Vizag",Waltair Uplands,"Waltair Uplands, Vizag",83.31618525,17.72676637,"Biryani, North Indian, Chinese",750,Rs.,0,1,0,0,3,3.7,9ACD32,Good,1590
2135,2800294,Sri Sairam Parlour,1,Vizag,"Diamond Park, Railway New Colony Road, Dwaraka Nagar, Vizag",Dwaraka Nagar,"Dwaraka Nagar, Vizag",83.30342162,17.72634546,"South Indian, North Indian",300,Rs.,0,1,1,0,1,4.5,3F7E00,Excellent,1197
2136,2801648,Helapuri Restaurant,1,Vizag,"Opposite RTC Complex, Near Andhra Bank, Dwarakanagar Circle, Dwaraka Nagar, Vizag",RTC Area,"RTC Area, Vizag",83.3059037,17.72490102,"South Indian, North Indian, Biryani, Chinese",300,Rs.,0,1,0,0,1,3.8,9ACD32,Good,489
2137,2801236,KFC,1,Vizag,"Vajjhala Square, Opp RTC Complex, GVMC Lane, Asilmetta Junction, Ram Nagar, Visakhapatnam",Asilmetta,"Asilmetta, Vizag",83.30847859,17.72402914,"Burger, Fast Food",500,Rs.,0,1,0,0,2,3.9,9ACD32,Good,927
2138,18809359,Helapuri Tiffins,1,Vizag,"Ground floor, Opposite RTC Complex, Near Andhra Bank, Dwarakanagar Circle, Dwaraka Nagar, Vizag",Dwaraka Nagar,"Dwaraka Nagar, Vizag",83.30595631,17.72490643,"South Indian, North Indian, Biryani, Chinese",300,Rs.,0,1,1,0,1,4,5BA829,Very Good,409
2139,2800856,Barbeque Nation,1,Vizag,"1st Floor, ATR Towers, Harbour Park Road,  Panduranga Puram, Near Harbour Park, Kirlampudi Layout, Vizag",Kirlampudi Layout,"Kirlampudi Layout, Vizag",83.31856135,17.71741887,"North Indian, Chinese, Mediterranean",1600,Rs.,0,0,0,0,4,4.7,3F7E00,Excellent,883
2140,2801223,Celebrations Restaurant ,1,Vizag,"Near Bharat Petrol Bunk, Marripalem, Vizag",Marripalem,"Marripalem, Vizag",83.24751835,17.74060134,"Indian, Chinese",1000,Rs.,0,1,0,0,3,3.8,9ACD32,Good,275
2141,2800840,Ratna Vari Vantillu,1,Vizag,"58-18-11, NH 5, Ravindrabharat Road, Near NSTL, Nad Junction, Vizag",Nad Junction,"Nad Junction, Vizag",83.23672682,17.74464755,"Andhra, Biryani",450,Rs.,0,1,0,0,2,3.4,CDD614,Average,199
2142,2801131,Kava Grill & Lounge,1,Vizag,"Fairfield By Marriott, Visakhapatnam KSR Prime, R&B Junction, Marripalem, Vizag",Marripalem,"Marripalem, Vizag",83.24628387,17.74794487,"Continental, South Indian, Italian, North Indian, Asian",1000,Rs.,0,0,0,0,3,4.4,5BA829,Very Good,239
2143,2800080,Gongura Hotel,1,Vizag,"National Highway 5, Opposite NSTL Main Gate, Nad Kotha Road, Marripalem, Vizag",Marripalem,"Marripalem, Vizag",83.23867645,17.74603342,"Andhra, South Indian",550,Rs.,0,1,0,0,2,3.7,9ACD32,Good,208
2144,18694189,Swad India Restaurant,1,Vizag,"Near Reliance Fresh, First Floor, Marripalem, Vizag",Marripalem,"Marripalem, Vizag",83.25683333,17.73909345,"North Indian, Biryani, Chinese",400,Rs.,0,1,0,0,2,3.6,9ACD32,Good,151
2145,2800806,Pastry Chef,1,Vizag,"48, Bus Stop Road, Murali Nagar, Madhavadhara, Vizag",Madhavadhara,"Madhavadhara, Vizag",83.25986456,17.74814764,"Bakery, Desserts, Fast Food",250,Rs.,0,1,1,0,1,3.9,9ACD32,Good,179
2146,2801349,7Biryanis,1,Vizag,"Door No 58-16-8, Nad Kotha Road, Nad Junction, Vizag",Nad Junction,"Nad Junction, Vizag",83.23627219,17.74328978,Biryani,500,Rs.,0,1,0,0,2,2.6,FFBA00,Average,209
2147,18757190,Aadaab Restaurant,1,Vizag,"1-58-252, Sri Mahalakshmi Complex, NAD Kotha Road, Nad Junction, Vizag",Nad Junction,"Nad Junction, Vizag",83.23597446,17.74254574,"Chinese, Seafood, Biryani",350,Rs.,0,1,0,0,2,3.4,CDD614,Average,121
2148,2800816,New Ram Sai,1,Vizag,"Kali Nagar, Opposite SBI, Madhavadhara, Vizag",Madhavadhara,"Madhavadhara, Vizag",83.25642832,17.74927867,"South Indian, North Indian, Chinese",350,Rs.,0,0,0,0,2,3.9,9ACD32,Good,185
2149,2801471,Domino's Pizza,1,Vizag,"Shop 2, GF, Door number- 58-1-357, GT Road, Butchirajupaalem, Nad Junction, Visakhapatnam",Nad Junction,"Nad Junction, Vizag",83.23105931,17.74374099,"Pizza, Fast Food",700,Rs.,0,0,0,0,2,3.6,9ACD32,Good,423
2150,18756253,Hotel Grand Alphaa,1,Vizag,"58-1-332, BRTS Road, Opposite Bhashyam School, Buchirajupalem, Dungalavanipalem, Nad Junction, Vizag",Nad Junction,"Nad Junction, Vizag",83.23120281,17.74333385,"Biryani, North Indian",400,Rs.,0,0,0,0,2,3.8,9ACD32,Good,363
2151,2800833,Hotel Golden Alfa,1,Vizag,"1st Floor, Sai Villa Chambers, Nad X Road, Nad Junction, Vizag",Nad Junction,"Nad Junction, Vizag",83.23445097,17.7429481,"North Indian, Chinese",400,Rs.,0,0,0,0,2,3.7,9ACD32,Good,390
2152,2800840,Ratna Vari Vantillu,1,Vizag,"58-18-11, NH 5, Ravindrabharat Road, Near NSTL, Nad Junction, Vizag",Nad Junction,"Nad Junction, Vizag",83.23672682,17.74464755,"Andhra, Biryani",450,Rs.,0,1,0,0,2,3.4,CDD614,Average,199
2153,2800080,Gongura Hotel,1,Vizag,"National Highway 5, Opposite NSTL Main Gate, Nad Kotha Road, Marripalem, Vizag",Marripalem,"Marripalem, Vizag",83.23867645,17.74603342,"Andhra, South Indian",550,Rs.,0,1,0,0,2,3.7,9ACD32,Good,208
2154,2801349,7Biryanis,1,Vizag,"Door No 58-16-8, Nad Kotha Road, Nad Junction, Vizag",Nad Junction,"Nad Junction, Vizag",83.23627219,17.74328978,Biryani,500,Rs.,0,1,0,0,2,2.6,FFBA00,Average,209
